ANZSCO Code,Occupation,Share of workers who work full-time hours (%),Average full-time hours worked per week,Median full-time earnings per week,Median full-time hourly earnings
3922,Graphic Pre-press Trades Workers,78,40,"$1,155",$29
3923,Printers,87,41,"$1,310",$35
3941,Cabinetmakers,89,43,"$1,216",$31
3992,Chemical Gas Petroleum and Power Plant Operators,95,51,"$3,424",$83
3993,Gallery Library and Museum Technicians,56,38,"$1,459",$40
3995,Performing Arts Technicians,72,45,"$1,779",$46
3999,Other Miscellaneous Technicians and Trades Workers,66,42,"$1,671",$43
4111,Ambulance Officers and Paramedics,86,47,"$2,556",$62
4112,Dental Hygienists Technicians and Therapists,66,42,"$1,802",$47
4113,Diversional Therapists,60,40,"$1,130",$30
4114,Enrolled and Mothercraft Nurses,48,41,"$1,618",$41
4115,Indigenous Health Workers,69,41,"$1,398",$35
4116,Massage Therapists,33,42,"$1,472",$42
4117,Welfare Support Workers,67,41,"$1,688",$45
4211,Child Carers,45,40,"$1,146",$30
4221,Education Aides,31,39,"$1,098",$30
4231,Aged and Disabled Carers,40,43,"$1,564",$39
4232,Dental Assistants,45,39,"$1,139",$30
4233,Nursing Support and Personal Care Workers,43,42,"$1,279",$34
4234,Special Care Workers,37,44,"$1,784",$47
4311,Bar Attendants and Baristas,31,41,"$1,240",$33
4312,Cafe Workers,23,41,"$1,148",$30
4313,Gaming Workers,57,40,"$1,468",$39
4314,Hotel Service Managers,67,41,"$1,394",$33
4315,Waiters,16,41,"$1,249",$31
4319,Other Hospitality Workers,32,43,"$1,277",$34
4412,Fire and Emergency Workers,94,48,"$2,280",$53
4413,Police,94,43,"$2,422",$63
4421,Prison Officers,95,43,"$1,810",$44
4422,Security Officers and Guards,77,45,"$1,638",$39
4511,Beauty Therapists,39,41,"$1,200",$33
4513,Funeral Workers,70,43,"$1,443",$38
4516,Tourism and Travel Advisers,75,40,"$1,250",$33
4517,Travel Attendants,64,41,"$1,350",$36
4518,Other Personal Service Workers,40,43,"$1,224",$33
4521,Fitness Instructors,32,43,"$1,288",$34
4523,Sports Coaches Instructors and Officials,20,44,"$1,286",$34
5111,Contract Program and Project Administrators,84,42,"$2,033",$54
5121,Office Managers,70,41,"$1,522",$40
5122,Practice Managers,63,42,"$1,626",$45
5211,Personal Assistants,78,41,"$1,632",$44
5212,Secretaries,57,40,"$1,394",$37
5311,General Clerks,60,40,"$1,305",$35
5321,Keyboard Operators,57,40,"$1,279",$34
5411,Call or Contact Centre Workers,78,39,"$1,352",$35
5412,Information Officers,68,40,"$1,293",$34
5421,Receptionists,43,40,"$1,175",$31
5511,Accounting Clerks,67,40,"$1,392",$37
5512,Bookkeepers,40,41,"$1,501",$40
5513,Payroll Clerks,71,41,"$1,548",$41
5521,Bank Workers,81,41,"$1,384",$36
5522,Credit and Loans Officers,88,42,"$1,520",$38
5523,Insurance Money Market and Statistical Clerks,83,40,"$1,489",$39
5612,Couriers and Postal Deliverers,76,44,"$1,370",$34
5613,Filing and Registry Clerks,63,40,"$1,424",$39
5614,Mail Sorters,51,41,"$1,250",$33
5619,Other Clerical and Office Support Workers,75,40,"$1,155",$29
5911,Purchasing and Supply Logistics Clerks,81,42,"$1,442",$37
5912,Transport and Despatch Clerks,88,43,"$1,572",$38
5991,Conveyancers and Legal Executives,60,42,"$1,405",$38
5992,Court and Legal Clerks,65,40,"$1,384",$37
5993,Debt Collectors,73,40,"$1,630",$42
5994,Human Resource Clerks,81,41,"$1,472",$39
5995,Inspectors and Regulatory Officers,89,41,"$1,764",$46
5996,Insurance Investigators Loss Adjusters and Risk Surveyors,89,41,"$1,880",$50
5997,Library Assistants,32,38,"$1,412",$39
5999,Other Miscellaneous Clerical and Administrative Workers,72,42,"$1,468",$39
6111,Auctioneers and Stock and Station Agents,90,49,"$1,635",$43
6112,Insurance Agents,81,41,"$1,314",$34
6113,Sales Representatives,85,42,"$1,621",$43
6121,Real Estate Sales Agents,82,44,"$1,320",$34
6211,Sales Assistants (General),25,41,"$1,112",$29
6212,ICT Sales Assistants,72,42,"$1,123",$30
6213,Motor Vehicle and Vehicle Parts Salespersons,86,43,"$1,300",$33
6214,Pharmacy Sales Assistants,31,39,$932,$24
6215,Retail Supervisors,67,42,"$1,276",$34
6216,Service Station Attendants,30,41,"$1,286",$33
6219,Other Sales Assistants and Salespersons,67,43,"$1,133",$29
6311,Checkout Operators and Office Cashiers,18,39,"$1,108",$29
6392,Retail and Wool Buyers,95,43,"$1,331",$34
6393,Telemarketers,57,40,"$1,153",$29
6394,Ticket Salespersons,54,41,"$1,222",$32
7111,Clay Concrete Glass and Stone Processing Machine Operators,91,44,"$1,479",$39
7112,Industrial Spraypainters,93,44,"$2,116",$44
7113,Paper and Wood Processing Machine Operators,84,43,"$1,361",$35
7114,Photographic Developers and Printers,49,39,"$1,058",N/A
7116,Sewing Machinists,67,40,"$1,164",$29
7119,Other Machine Operators,70,43,"$1,456",$38
7121,Crane Hoist and Lift Operators,90,50,"$3,031",$57
7122,Drillers Miners and Shot Firers,97,64,"$2,824",$65
7123,Engineering Production Workers,95,44,"$1,400",$35
7129,Other Stationary Plant Operators,92,49,"$1,862",$45
7211,Agricultural Forestry and Horticultural Plant Operators,78,49,"$1,504",$35
7212,Earthmoving Plant Operators,93,50,"$1,944",$42
7213,Forklift Drivers,88,42,"$1,447",$36
7219,Other Mobile Plant Operators,76,46,"$1,627",$37
7312,Bus and Coach Drivers,61,42,"$1,676",$38
7313,Train and Tram Drivers,98,44,"$2,524",$61
7321,Delivery Drivers,49,43,"$1,269",$30
7331,Truck Drivers,89,49,"$1,780",$38
7411,Storepersons,70,41,"$1,237",$31
8111,Car Detailers,57,41,"$1,145",$25
8112,Commercial Cleaners,40,42,"$1,192",$30
8114,Housekeepers,25,45,"$1,252",$28
8115,Laundry Workers,57,41,"$1,140",$28
8116,Other Cleaners,55,42,"$1,250",$31
8211,Building and Plumbing Labourers,83,44,"$1,634",$38
8212,Concreters,88,45,"$1,855",$42
8214,Insulation and Home Improvement Installers,80,43,"$1,710",$44
8215,Paving and Surfacing Labourers,96,44,"$1,456",$36
8216,Railway Track Workers,97,48,"$2,324",$56
8217,Structural Steel Construction Workers,91,49,"$3,120",$70
8219,Other Construction and Mining Labourers,92,59,"$1,720",$35
8311,Food and Drink Factory Workers,75,42,"$1,379",$32
8312,Meat Boners and Slicers and Slaughterers,95,40,"$1,325",$31
8313,Meat Poultry and Seafood Process Workers,83,41,"$1,221",$30
8321,Packers,59,40,"$1,216",$30
8322,Product Assemblers,82,40,"$1,114",$29
8391,Metal Engineering Process Workers,80,42,"$1,393",$34
8392,Plastics and Rubber Factory Workers,78,40,"$1,811",$41
8393,Product Quality Controllers,87,42,"$1,434",$35
8394,Timber and Wood Process Workers,85,41,"$1,167",$29
8399,Other Factory Process Workers,70,41,"$1,442",$37
8511,Fast Food Cooks,16,44,"$1,179",$31
8513,Kitchenhands,20,42,"$1,250",$31
8911,Freight and Furniture Handlers,66,43,"$1,434",$33
8991,Caretakers,60,41,"$1,358",$34
8993,Handypersons,54,42,"$1,307",$33
8994,Motor Vehicle Parts and Accessories Fitters,85,44,"$1,294",$33
8995,Printing Assistants and Table Workers,56,41,"$1,200",$30
8996,Recycling and Rubbish Collectors,60,43,"$1,272",$32
8997,Vending Machine Attendants,24,40,"$1,286",$34
8999,Other Miscellaneous Labourers,56,45,"$1,480",$36
