anzsco_code,occupation,share_fulltime,avg_fulltime_hours,median_fulltime_earnings,median_fulltime_hourly_earnings
2326,Urban and Regional Planners,86.0,40.0,2036.0,57.0
2331,Chemical and Materials Engineers,93.0,42.0,,
2332,Civil Engineering Professionals,90.0,44.0,2264.0,60.0
2333,Electrical Engineers,92.0,43.0,,
2334,Electronics Engineers,86.0,41.0,1782.0,44.0
2335,"Industrial, Mechanical and Production Engineers",92.0,43.0,2151.0,58.0
2336,Mining Engineers,93.0,50.0,3365.0,86.0
2339,Other Engineering Professionals,88.0,42.0,2502.0,62.0
2341,Agricultural and Forestry Scientists,82.0,43.0,1934.0,53.0
2342,"Chemists, and Food and Wine Scientists",87.0,42.0,1828.0,48.0
2343,Environmental Scientists,78.0,42.0,1841.0,48.0
2344,"Geologists, Geophysicists and Hydrogeologists",90.0,51.0,2618.0,66.0
2345,Life Scientists,79.0,42.0,1948.0,54.0
2346,Medical Laboratory Scientists,75.0,42.0,2004.0,55.0
2347,Veterinarians,75.0,45.0,1862.0,43.0
2349,Other Natural and Physical Science Professionals,84.0,42.0,2052.0,56.0
2411,Early Childhood (Pre-primary School) Teachers,50.0,41.0,1660.0,44.0
2412,Primary School Teachers,65.0,45.0,2000.0,56.0
2413,Middle School Teachers,64.0,45.0,,
2414,Secondary School Teachers,78.0,45.0,2166.0,58.0
2415,Special Education Teachers,64.0,43.0,2153.0,60.0
2421,University Lecturers and Tutors,71.0,45.0,2732.0,73.0
2422,Vocational Education Teachers,70.0,42.0,1886.0,50.0
2491,Education Advisers and Reviewers,74.0,42.0,2478.0,68.0
2492,Private Tutors and Teachers,20.0,43.0,1876.0,52.0
2493,Teachers of English to Speakers of Other Languages,24.0,42.0,2053.0,59.0
2511,Nutrition Professionals,44.0,41.0,2090.0,
2512,Medical Imaging Professionals,66.0,40.0,2297.0,61.0
2513,Occupational and Environmental Health Professionals,89.0,44.0,2135.0,55.0
2514,Optometrists and Orthoptists,75.0,40.0,2280.0,60.0
2515,Pharmacists,65.0,42.0,2071.0,55.0
2519,Other Health Diagnostic and Promotion Professionals,65.0,41.0,1812.0,48.0
2521,Chiropractors and Osteopaths,60.0,42.0,,
2522,Complementary Health Therapists,35.0,43.0,,
2523,Dental Practitioners,63.0,42.0,3877.0,102.0
2524,Occupational Therapists,63.0,40.0,1526.0,40.0
2525,Physiotherapists,66.0,41.0,1710.0,43.0
2526,Podiatrists,65.0,42.0,,
2527,Audiologists and Speech Pathologists \ Therapists,62.0,41.0,1971.0,49.0
2531,General Practitioners and Resident Medical Officers,78.0,45.0,2616.0,63.0
2532,Anaesthetists,87.0,46.0,,
2533,Specialist Physicians,84.0,48.0,4657.0,
2534,Psychiatrists,64.0,44.0,,
2535,Surgeons,86.0,54.0,,
2539,Other Medical Practitioners,73.0,46.0,3774.0,84.0
2541,Midwives,48.0,41.0,2387.0,63.0
2542,Nurse Educators and Researchers,59.0,41.0,2203.0,58.0
2543,Nurse Managers,77.0,43.0,2608.0,67.0
2544,Registered Nurses,55.0,41.0,2156.0,56.0
2611,ICT Business and Systems Analysts,94.0,41.0,2742.0,71.0
2612,Multimedia Specialists and Web Developers,92.0,41.0,2252.0,61.0
2613,Software and Applications Programmers,94.0,41.0,2496.0,64.0
2621,"Database and Systems Administrators, and ICT Security Specialists",94.0,41.0,2284.0,59.0
2631,Computer Network Professionals,96.0,41.0,2308.0,62.0
2632,ICT Support and Test Engineers,96.0,40.0,2202.0,57.0
2633,Telecommunications Engineering Professionals,94.0,41.0,2577.0,68.0
2711,Barristers,87.0,48.0,,
2712,Judicial and Other Legal Professionals,76.0,44.0,2708.0,74.0
2713,Solicitors,87.0,46.0,1828.0,50.0
2721,Counsellors,60.0,41.0,1477.0,39.0
2722,Ministers of Religion,66.0,45.0,1367.0,
2723,Psychologists and Psychotherapists,54.0,42.0,2054.0,59.0
2724,Social Professionals,56.0,41.0,1758.0,48.0
2725,Social Workers,68.0,40.0,1850.0,48.0
2726,"Welfare, Recreation and Community Arts Workers",67.0,41.0,1926.0,50.0
3111,Agricultural Technicians,87.0,41.0,1944.0,
3112,Medical Technicians,62.0,41.0,1322.0,35.0
3113,Primary Products Inspectors,83.0,41.0,,
3114,Science Technicians,73.0,43.0,1638.0,43.0
3121,"Architectural, Building and Surveying Technicians",91.0,46.0,2115.0,50.0
3122,Civil Engineering Draftspersons and Technicians,90.0,42.0,1738.0,46.0
3123,"Electrical Engineering Draftspersons, Technicians",92.0,45.0,2580.0,64.0
3124,"Electronic Engineering Draftspersons, Technicians",87.0,42.0,2736.0,67.0
3125,"Mechanical Engineering Draftspersons, Technicians",88.0,43.0,1823.0,46.0
3126,Safety Inspectors,92.0,45.0,3295.0,84.0
3129,Other Building and Engineering Technicians,96.0,52.0,3024.0,68.0
3131,ICT Support Technicians,90.0,40.0,1442.0,38.0
3132,Telecommunications Technical Specialists,93.0,41.0,2334.0,62.0
3211,Automotive Electricians,94.0,49.0,1888.0,42.0
3212,Motor Mechanics,90.0,44.0,1405.0,35.0
3221,"Metal Casting, Forging and Finishing Trades",86.0,45.0,,
3222,Sheetmetal Trades Workers,93.0,43.0,1286.0,35.0
3223,Structural Steel and Welding Trades Workers,96.0,46.0,1755.0,41.0
3231,Aircraft Maintenance Engineers,93.0,42.0,1978.0,47.0
3232,Metal Fitters and Machinists,95.0,50.0,2243.0,52.0
3233,Precision Metal Trades Workers,88.0,42.0,,
3234,Toolmakers and Engineering Patternmakers,87.0,42.0,,
3241,Panelbeaters,91.0,42.0,1684.0,39.0
3242,Vehicle Body Builders and Trimmers,91.0,43.0,,38.0
3243,Vehicle Painters,94.0,42.0,1660.0,40.0
3311,Bricklayers and Stonemasons,86.0,42.0,1597.0,45.0
3312,Carpenters and Joiners,92.0,43.0,1787.0,44.0
3321,Floor Finishers,78.0,43.0,,
3322,Painting Trades Workers,80.0,42.0,1400.0,35.0
3331,Glaziers,91.0,42.0,1341.0,35.0
3332,Plasterers,88.0,43.0,,
3333,Roof Tilers,86.0,42.0,,
3334,Wall and Floor Tilers,89.0,42.0,,
3341,Plumbers,93.0,44.0,2000.0,52.0
3411,Electricians,93.0,45.0,2204.0,53.0
3421,Airconditioning and Refrigeration Mechanics,93.0,43.0,2019.0,46.0
3422,Electrical Distribution Trades Workers,97.0,44.0,2797.0,66.0
3423,Electronics Trades Workers,82.0,42.0,1525.0,40.0
3424,Telecommunications Trades Workers,90.0,42.0,1595.0,42.0
3511,Bakers and Pastrycooks,72.0,43.0,1353.0,36.0
3512,Butchers and Smallgoods Makers,87.0,45.0,,
3513,Chefs,78.0,43.0,1330.0,34.0
3514,Cooks,37.0,42.0,1198.0,31.0
3611,Animal Attendants and Trainers,56.0,46.0,1280.0,32.0
3612,Shearers,89.0,43.0,,
3613,Veterinary Nurses,49.0,40.0,,36.0
3621,Florists,48.0,45.0,,
3622,Gardeners,70.0,42.0,,
3623,Greenkeepers,80.0,40.0,1298.0,34.0
3624,Nurserypersons,62.0,44.0,,
3911,Hairdressers,52.0,40.0,1121.0,26.0
3921,Print Finishers and Screen Printers,74.0,40.0,1298.0,31.0
3922,Graphic Pre-press Trades Workers,78.0,40.0,1155.0,29.0
3923,Printers,87.0,41.0,1310.0,35.0
3931,Canvas and Leather Goods Makers,100.0,45.0,,
3932,Clothing Trades Workers,68.0,42.0,,
3933,Upholsterers,68.0,42.0,,
3941,Cabinetmakers,89.0,43.0,1216.0,31.0
3942,Wood Machinists and Other Wood Trades Workers,76.0,42.0,,
3991,Boat Builders and Shipwrights,85.0,43.0,,
3992,"Chemical, Gas, Petroleum and Power Plant Operators",95.0,51.0,3424.0,83.0
3993,"Gallery, Library and Museum Technicians",56.0,38.0,1459.0,40.0
3994,Jewellers,51.0,43.0,,
3995,Performing Arts Technicians,72.0,45.0,1779.0,46.0
3996,Signwriters,89.0,43.0,,
3999,Other Miscellaneous Technicians and Trades Workers,66.0,42.0,1671.0,43.0
4111,Ambulance Officers and Paramedics,86.0,47.0,2556.0,62.0
4112,"Dental Hygienists, Technicians and Therapists",66.0,42.0,1802.0,47.0
4113,Diversional Therapists,60.0,40.0,1130.0,30.0
4114,Enrolled and Mothercraft Nurses,48.0,41.0,1618.0,41.0
4115,Indigenous Health Workers,69.0,41.0,1398.0,35.0
4116,Massage Therapists,33.0,42.0,1472.0,42.0
4117,Welfare Support Workers,67.0,41.0,1688.0,45.0
4211,Child Carers,45.0,40.0,1146.0,30.0
4221,Education Aides,31.0,39.0,1098.0,30.0
4231,Aged and Disabled Carers,40.0,43.0,1564.0,39.0
4232,Dental Assistants,45.0,39.0,1139.0,30.0
4233,Nursing Support and Personal Care Workers,43.0,42.0,1279.0,34.0
4234,Special Care Workers,37.0,44.0,1784.0,47.0
4311,Bar Attendants and Baristas,31.0,41.0,1240.0,33.0
4312,Cafe Workers,23.0,41.0,1148.0,30.0
4313,Gaming Workers,57.0,40.0,1468.0,39.0
4314,Hotel Service Managers,67.0,41.0,1394.0,33.0
4315,Waiters,16.0,41.0,1249.0,31.0
4319,Other Hospitality Workers,32.0,43.0,1277.0,34.0
4411,Defence Force Members - Other Ranks,92.0,47.0,,
4412,Fire and Emergency Workers,94.0,48.0,2280.0,53.0
4413,Police,94.0,43.0,2422.0,63.0
4421,Prison Officers,95.0,43.0,1810.0,44.0
4422,Security Officers and Guards,77.0,45.0,1638.0,39.0
4511,Beauty Therapists,39.0,41.0,1200.0,33.0
4512,Driving Instructors,51.0,44.0,,
4513,Funeral Workers,70.0,43.0,1443.0,38.0
4514,"Gallery, Museum and Tour Guides",51.0,44.0,,33.0
4515,Personal Care Consultants,31.0,42.0,,
4516,Tourism and Travel Advisers,75.0,40.0,1250.0,33.0
4517,Travel Attendants,64.0,41.0,1350.0,36.0
4518,Other Personal Service Workers,40.0,43.0,1224.0,33.0
4521,Fitness Instructors,32.0,43.0,1288.0,34.0
4522,Outdoor Adventure Guides,77.0,45.0,,
4523,"Sports Coaches, Instructors and Officials",20.0,44.0,1286.0,34.0
4524,Sportspersons,35.0,43.0,,
5111,"Contract, Program and Project Administrators",84.0,42.0,2033.0,54.0
5121,Office Managers,70.0,41.0,1522.0,40.0
5122,Practice Managers,63.0,42.0,1626.0,45.0
5211,Personal Assistants,78.0,41.0,1632.0,44.0
5212,Secretaries,57.0,40.0,1394.0,37.0
5311,General Clerks,60.0,40.0,1305.0,35.0
5321,Keyboard Operators,57.0,40.0,1279.0,34.0
5411,Call or Contact Centre Workers,78.0,39.0,1352.0,35.0
5412,Information Officers,68.0,40.0,1293.0,34.0
5421,Receptionists,43.0,40.0,1175.0,31.0
5511,Accounting Clerks,67.0,40.0,1392.0,37.0
5512,Bookkeepers,40.0,41.0,1501.0,40.0
5513,Payroll Clerks,71.0,41.0,1548.0,41.0
5521,Bank Workers,81.0,41.0,1384.0,36.0
5522,Credit and Loans Officers,88.0,42.0,1520.0,38.0
5523,"Insurance, Money Market and Statistical Clerks",83.0,40.0,1489.0,39.0
5611,Betting Clerks,50.0,41.0,,
5612,Couriers and Postal Deliverers,76.0,44.0,1370.0,34.0
5613,Filing and Registry Clerks,63.0,40.0,1424.0,39.0
5614,Mail Sorters,51.0,41.0,1250.0,33.0
5615,Survey Interviewers,63.0,41.0,,
5616,Switchboard Operators,56.0,40.0,,
5619,Other Clerical and Office Support Workers,75.0,40.0,1155.0,29.0
5911,Purchasing and Supply Logistics Clerks,81.0,42.0,1442.0,37.0
5912,Transport and Despatch Clerks,88.0,43.0,1572.0,38.0
5991,Conveyancers and Legal Executives,60.0,42.0,1405.0,38.0
5992,Court and Legal Clerks,65.0,40.0,1384.0,37.0
5993,Debt Collectors,73.0,40.0,1630.0,42.0
5994,Human Resource Clerks,81.0,41.0,1472.0,39.0
5995,Inspectors and Regulatory Officers,89.0,41.0,1764.0,46.0
5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",89.0,41.0,1880.0,50.0
5997,Library Assistants,32.0,38.0,1412.0,39.0
5999,Other Miscellaneous Clerical and Administrative Workers,72.0,42.0,1468.0,39.0
6111,"Auctioneers, and Stock and Station Agents",90.0,49.0,1635.0,43.0
6112,Insurance Agents,81.0,41.0,1314.0,34.0
6113,Sales Representatives,85.0,42.0,1621.0,43.0
6121,Real Estate Sales Agents,82.0,44.0,1320.0,34.0
6211,Sales Assistants (General),25.0,41.0,1112.0,29.0
6212,ICT Sales Assistants,72.0,42.0,1123.0,30.0
6213,Motor Vehicle and Vehicle Parts Salespersons,86.0,43.0,1300.0,33.0
6214,Pharmacy Sales Assistants,31.0,39.0,932.0,24.0
6215,Retail Supervisors,67.0,42.0,1276.0,34.0
6216,Service Station Attendants,30.0,41.0,1286.0,33.0
6217,Street Vendors and Related Salespersons,46.0,44.0,,
6219,Other Sales Assistants and Salespersons,67.0,43.0,1133.0,29.0
6311,Checkout Operators and Office Cashiers,18.0,39.0,1108.0,29.0
6391,Models and Sales Demonstrators,33.0,40.0,,
6392,Retail and Wool Buyers,95.0,43.0,1331.0,34.0
6393,Telemarketers,57.0,40.0,1153.0,29.0
6394,Ticket Salespersons,54.0,41.0,1222.0,32.0
6395,Visual Merchandisers,56.0,40.0,,
6399,Other Sales Support Workers,36.0,40.0,,
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",91.0,44.0,1479.0,39.0
7112,Industrial Spraypainters,93.0,44.0,2116.0,44.0
7113,Paper and Wood Processing Machine Operators,84.0,43.0,1361.0,35.0
7114,Photographic Developers and Printers,49.0,39.0,1058.0,
7115,Plastics and Rubber Production Machine Operators,90.0,45.0,,
7116,Sewing Machinists,67.0,40.0,1164.0,29.0
7117,Textile and Footwear Production Machine Operators,92.0,43.0,,
7119,Other Machine Operators,70.0,43.0,1456.0,38.0
7121,"Crane, Hoist and Lift Operators",90.0,50.0,3031.0,57.0
7122,"Drillers, Miners and Shot Firers",97.0,64.0,2824.0,65.0
7123,Engineering Production Workers,95.0,44.0,1400.0,35.0
7129,Other Stationary Plant Operators,92.0,49.0,1862.0,45.0
7211,"Agricultural, Forestry and Horticultural Plant Operators",78.0,49.0,1504.0,35.0
7212,Earthmoving Plant Operators,93.0,50.0,1944.0,42.0
7213,Forklift Drivers,88.0,42.0,1447.0,36.0
7219,Other Mobile Plant Operators,76.0,46.0,1627.0,37.0
7311,Automobile Drivers,63.0,46.0,,40.0
7312,Bus and Coach Drivers,61.0,42.0,1676.0,38.0
7313,Train and Tram Drivers,98.0,44.0,2524.0,61.0
7321,Delivery Drivers,49.0,43.0,1269.0,30.0
7331,Truck Drivers,89.0,49.0,1780.0,38.0
7411,Storepersons,70.0,41.0,1237.0,31.0
8111,Car Detailers,57.0,41.0,1145.0,25.0
8112,Commercial Cleaners,40.0,42.0,1192.0,30.0
8113,Domestic Cleaners,19.0,42.0,,
8114,Housekeepers,25.0,45.0,1252.0,28.0
8115,Laundry Workers,57.0,41.0,1140.0,28.0
8116,Other Cleaners,55.0,42.0,1250.0,31.0
8211,Building and Plumbing Labourers,83.0,44.0,1634.0,38.0
8212,Concreters,88.0,45.0,1855.0,42.0
8213,Fencers,78.0,45.0,,30.0
8214,Insulation and Home Improvement Installers,80.0,43.0,1710.0,44.0
8215,Paving and Surfacing Labourers,96.0,44.0,1456.0,36.0
8216,Railway Track Workers,97.0,48.0,2324.0,56.0
8217,Structural Steel Construction Workers,91.0,49.0,3120.0,70.0
8219,Other Construction and Mining Labourers,92.0,59.0,1720.0,35.0
8311,Food and Drink Factory Workers,75.0,42.0,1379.0,32.0
8312,"Meat Boners and Slicers, and Slaughterers",95.0,40.0,1325.0,31.0
8313,"Meat, Poultry and Seafood Process Workers",83.0,41.0,1221.0,30.0
8321,Packers,59.0,40.0,1216.0,30.0
8322,Product Assemblers,82.0,40.0,1114.0,29.0
8391,Metal Engineering Process Workers,80.0,42.0,1393.0,34.0
8392,Plastics and Rubber Factory Workers,78.0,40.0,1811.0,41.0
8393,Product Quality Controllers,87.0,42.0,1434.0,35.0
8394,Timber and Wood Process Workers,85.0,41.0,1167.0,29.0
8399,Other Factory Process Workers,70.0,41.0,1442.0,37.0
8411,Aquaculture Workers,57.0,46.0,,
8412,Crop Farm Workers,73.0,42.0,,
8413,Forestry and Logging Workers,75.0,45.0,,
8414,Garden and Nursery Labourers,63.0,41.0,,
8415,Livestock Farm Workers,55.0,47.0,,
8416,Mixed Crop and Livestock Farm Workers,55.0,46.0,,
8419,"Other Farm, Forestry and Garden Workers",69.0,43.0,,
8511,Fast Food Cooks,16.0,44.0,1179.0,31.0
8512,Food Trades Assistants,40.0,40.0,,
8513,Kitchenhands,20.0,42.0,1250.0,31.0
8911,Freight and Furniture Handlers,66.0,43.0,1434.0,33.0
8912,Shelf Fillers,22.0,39.0,,
8991,Caretakers,60.0,41.0,1358.0,34.0
8992,Deck and Fishing Hands,80.0,56.0,,35.0
8993,Handypersons,54.0,42.0,1307.0,33.0
8994,Motor Vehicle Parts and Accessories Fitters,85.0,44.0,1294.0,33.0
8995,Printing Assistants and Table Workers,56.0,41.0,1200.0,30.0
8996,Recycling and Rubbish Collectors,60.0,43.0,1272.0,32.0
8997,Vending Machine Attendants,24.0,40.0,1286.0,34.0
8999,Other Miscellaneous Labourers,56.0,45.0,1480.0,36.0
111211,Corporate General Managers,86.0,47.0,,
111212,Defence Force Senior Officers,84.0,50.0,,
111311,Local Government Legislators,53.0,47.0,,
111312,Members of Parliament,97.0,59.0,,
111399,Other Legislators,59.0,35.0,,
121211,Cotton Growers,92.0,52.0,,
121212,Flower Growers,66.0,47.0,,
121213,Fruit and Nut Growers,73.0,48.0,,
121214,"Grain, Oilseed and Pasture Growers",80.0,54.0,,
121215,Grape Growers,75.0,46.0,,
121216,Mixed Crop Farmers,79.0,53.0,,
121217,Sugar Cane Growers,82.0,59.0,,
121218,Turf Growers,84.0,46.0,,
121221,Vegetable Growers,71.0,49.0,,
121299,Other Crop Farmers,73.0,47.0,,
121311,Beekeepers,68.0,50.0,,
121312,Beef Cattle Farmers,71.0,54.0,,
121313,Dairy Cattle Farmers,82.0,64.0,,
121314,Deer Farmers,,,,
121315,Goat Farmers,69.0,52.0,,
121316,Horse Breeders,79.0,50.0,,
121317,Mixed Livestock Farmers,79.0,54.0,,
121318,Pig Farmers,87.0,47.0,,
121321,Poultry Farmers,81.0,49.0,,
121322,Sheep Farmers,74.0,53.0,,
121399,Other Livestock Farmers,69.0,52.0,,
131112,Sales and Marketing Managers,87.0,44.0,,
131113,Advertising Managers,85.0,44.0,,
131114,Public Relations Managers,85.0,44.0,,
133111,Construction Project Managers,90.0,47.0,,
133112,Project Builders,82.0,47.0,,
133311,Importers and Exporters,67.0,44.0,,
133312,Wholesalers,76.0,46.0,,
133511,Forest Managers,91.0,44.0,,
133512,Manufacturing Production Managers,91.0,45.0,,
133513,Mine Managers,95.0,54.0,,
133611,Supply and Distribution Managers,92.0,46.0,,
133612,Procurement Managers,91.0,44.0,,
134211,Medical Administrators,74.0,44.0,,
134212,Nursing Clinical Directors,89.0,44.0,,
134213,Primary Health Organisation Managers,79.0,44.0,,
134214,Welfare Centre Managers,84.0,41.0,,
134299,Other Health and Welfare Services Managers,85.0,43.0,,
134411,Faculty Heads,90.0,45.0,,
134412,Regional Education Managers,88.0,47.0,,
134499,Education Managers (not covered elsewhere),79.0,43.0,,
135111,Chief Information Officers,96.0,47.0,,
135112,ICT Project Managers,92.0,43.0,,
135199,Other ICT Managers,94.0,43.0,,
139111,Commissioned Defence Force Officers,90.0,48.0,,
139112,Commissioned Fire Officers,95.0,47.0,,
139113,Commissioned Police Officers,97.0,47.0,,
139911,Arts Administrators and Managers,66.0,42.0,,
139912,Environmental Managers,87.0,44.0,,
139913,Laboratory Managers,86.0,43.0,,
139914,Quality Assurance Managers,85.0,42.0,,
139915,Sports Administrators,75.0,43.0,,
139999,Specialist Managers (not covered elsewhere),90.0,44.0,,
141911,Bed and Breakfast Operators,25.0,50.0,,
141912,Retirement Village Managers,80.0,40.0,,
141999,Accommodation and Hospitality Managers (not covered elsewhere),61.0,50.0,,
142111,Retail Managers (General),74.0,45.0,,
142112,Antique Dealers,46.0,46.0,,
142113,Betting Agency Managers,45.0,48.0,,
142114,Hair and Beauty Salon Managers,57.0,44.0,,
142115,Post Office Managers,82.0,45.0,,
142116,Travel Agency Managers,62.0,42.0,,
149111,Amusement Centre Managers,65.0,43.0,,
149112,Fitness Centre Managers,62.0,44.0,,
149113,Sports Centre Managers,63.0,43.0,,
149211,Call Centre or Contact Centre Managers,90.0,43.0,,
149212,Customer Service Managers,87.0,43.0,,
149411,Fleet Managers,91.0,44.0,,
149412,Railway Station Managers,94.0,42.0,,
149413,Transport Company Managers,78.0,50.0,,
149911,Boarding Kennel and Cattery Operators,65.0,48.0,,
149912,Cinema and Theatre Managers,46.0,40.0,,
149913,Facilities Managers,84.0,42.0,,
149914,Bank Managers and Branch Managers,91.0,43.0,,
149915,Equipment Hire Managers,82.0,47.0,,
149999,"Hospitality, Retail and Service Managers (not covered elsewhere)",76.0,46.0,,
211111,Actors,29.0,43.0,,
211112,Dancers and Choreographers,41.0,41.0,,
211113,Entertainers and Variety Artists,33.0,46.0,,
211199,"Other Actors, Dancers and Entertainers",38.0,46.0,,
211211,Composers,63.0,42.0,,
211212,Music Directors,58.0,42.0,,
211213,Musicians,30.0,44.0,,
211214,Singers,25.0,43.0,,
211299,Other Music Professionals,52.0,20.0,,
211411,Painters (Visual Arts),42.0,45.0,,
211412,Potters and Ceramic Artists,45.0,43.0,,
211413,Sculptors,58.0,45.0,,
211499,Other Visual Arts or Crafts Professionals,47.0,45.0,,
212111,Artistic Directors,73.0,45.0,,
212112,Media Producers,79.0,46.0,,
212113,Radio Presenters,54.0,43.0,,
212114,Television Presenters,58.0,47.0,,
212211,Authors,48.0,45.0,,
212212,Book and Script Editors,49.0,41.0,,
212311,"Art Directors (Film, Television or Stage)",83.0,46.0,,
212312,"Directors (Film, Television, Radio or Stage)",71.0,47.0,,
212313,Cinematographers,59.0,44.0,,
212314,Film and Video Editors,67.0,44.0,,
212315,Program Directors (Television or Radio),77.0,42.0,,
212316,Stage Managers,63.0,40.0,,
212317,Technical Directors,88.0,41.0,,
212318,Video Producers,70.0,42.0,,
212399,"Other Film, Television, Radio and Stage Directors",74.0,47.0,,
212411,Copywriters,54.0,42.0,,
212412,Newspaper and Periodical Editors,67.0,43.0,,
212413,Print Journalists,69.0,43.0,,
212414,Radio Journalists,75.0,40.0,,
212415,Technical Writers,69.0,41.0,,
212416,Television Journalists,86.0,45.0,,
212499,"Bloggers, Critics, Sports and Other Writers (not covered elsewhere)",60.0,42.0,,
221111,Accountants (General),78.0,43.0,,
221112,Management Accountants,87.0,42.0,,
221113,Taxation Accountants,74.0,44.0,,
221211,Company Secretaries,72.0,47.0,,
221212,Corporate Treasurers,93.0,44.0,,
221213,External Auditors,86.0,43.0,,
221214,Internal Auditors,85.0,41.0,,
222111,Commodities Traders,86.0,44.0,,
222112,Finance Brokers,79.0,46.0,,
222113,Insurance Brokers,85.0,43.0,,
222199,Other Financial Brokers,76.0,45.0,,
222211,Financial Market Dealers,83.0,46.0,,
222212,Futures Traders,85.0,52.0,,
222213,Stockbrokers,80.0,52.0,,
222299,Other Financial Dealers,91.0,45.0,,
222311,Financial Investment Advisers,84.0,44.0,,
222312,Financial Investment Managers,81.0,47.0,,
