ï»¿Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025Updating,2023-24 change_percentage,2014-24 Percentage, 2014-24 Anual Percentage,SAL_CODE21
ASHWOOD,775000.0,888000.0,1140000.0,1230000.0,1359000.0,1210000.0,1100000.0,1250500,1450000,1567500,1455000.0,1442500.0,1442500.0,1.0,62.0,5.0,20078
ASPENDALE,620000.0,690000.0,795500.0,891000.0,1125000.0,980000.0,994000.0,1120000,1321500,1440000,1360000.0,1315000.0,1315000.0,3.0,91.0,6.7,20079
ASPENDALE GARDENS,586500.0,632000.0,715000.0,775000.0,882500.0,935000.0,844000.0,970000,1130500,1150000,1117000.0,1210500.0,1210500.0,8.0,92.0,6.7,20080
ATTWOOD,540000.0,515000.0,620000.0,660000.0,742500.0,750000.0,767500.0,750000,970000,990500,950000.0,930000.0,930000.0,2.0,81.0,6.1,20082
AVENEL,231000.0,302000.0,245000.0,250000.0,355000.0,349000.0,370000.0,450000,455000,497500,557500.0,547500.0,547500.0,2.0,81.0,6.1,20086
AVOCA,182500.0,180000.0,182500.0,165000.0,212500.0,220000.0,219500.0,290000,325000,375000,350000.0,390000.0,390000.0,11.0,117.0,8.0,20087
AVONDALE HEIGHTS,532500.0,562500.0,650000.0,750000.0,845500.0,830000.0,810000.0,842500,965500,990000,938500.0,980500.0,980500.0,4.0,74.0,5.7,20089
AVONSLEIGH,420000.0,355000.0,397500.0,501000.0,562000.0,540000.0,532500.0,615000,752500,837500,725000.0,717500.0,717500.0,1.0,102.0,7.3,20091
AXEDALE,240000.0,357500.0,327500.0,340000.0,350000.0,355000.0,387500.0,390000,505000,520000,,,,,,,20093
BACCHUS MARSH,335500.0,348000.0,355000.0,376000.0,415500.0,480000.0,500000.0,520000,597000,665000,640000.0,610000.0,610000.0,5.0,75.0,5.8,20095
BADGER CREEK,315000.0,325000.0,345000.0,379000.0,465000.0,500000.0,498000.0,550000,665000,715000,732500.0,650500.0,650500.0,11.0,100.0,7.2,20097
BAIRNSDALE,235000.0,244000.0,246500.0,255000.0,272500.0,279000.0,274000.0,290000,350000,440000,435000.0,430000.0,430000.0,1.0,76.0,5.8,20103
BALACLAVA,860500.0,942000.0,1100000.0,1242500.0,1385500.0,1190000.0,1405000.0,1418000,1550000,1560000,1500000.0,1377500.0,1377500.0,8.0,46.0,3.9,20105
BALLAN,352000.0,330000.0,359000.0,370000.0,417000.0,462000.0,450000.0,505000,603500,640000,607500.0,630000.0,630000.0,4.0,91.0,6.7,20108
BALLARAT CENTRAL,322000.0,327500.0,353000.0,385000.0,430000.0,447500.0,515000.0,560000,710000,687500,611500.0,575000.0,575000.0,6.0,76.0,5.8,20111
BALLARAT EAST,265000.0,265000.0,275000.0,295000.0,310000.0,340000.0,360000.0,398000,490000,530000,520000.0,466000.0,466000.0,10.0,76.0,5.8,20112
BALLARAT NORTH,296000.0,312000.0,315000.0,339500.0,346500.0,389000.0,417500.0,425000,566500,627500,620000.0,540000.0,540000.0,13.0,73.0,5.6,20113
BALNARRING,525000.0,544000.0,595000.0,670000.0,815000.0,814500.0,825000.0,938500,1275000,1330000,1250000.0,1305000.0,1305000.0,4.0,140.0,9.1,20120
BALNARRING BEACH,750000.0,700000.0,887500.0,904000.0,890000.0,1115000.0,1275000.0,1250000,1635000,1847500,2150000.0,1650000.0,1650000.0,23.0,136.0,9.0,20121
BALWYN,1530000.0,1780000.0,2210000.0,2180000.0,2340000.0,2420000.0,2377500.0,2260000,2750000,2862000,2965000.0,2868000.0,2868000.0,3.0,61.0,4.9,20123
BALWYN NORTH,1240000.0,1452000.0,1850000.0,1800000.0,1950000.0,1810000.0,1720000.0,1900000,2255500,2229000,2382500.0,2310000.0,2310000.0,3.0,59.0,4.8,20124
BANDIANA,339000.0,355000.0,377500.0,370000.0,375000.0,390000.0,374000.0,380000,447000,599500,599000.0,615000.0,615000.0,3.0,73.0,5.6,20129
BANNOCKBURN,370000.0,405000.0,393000.0,382000.0,430000.0,487500.0,530000.0,555000,680000,729500,710000.0,712500.0,712500.0,0.0,76.0,5.8,20133
BARANDUDA,345000.0,330000.0,323000.0,350000.0,350000.0,403500.0,395000.0,436000,487000,650000,610000.0,642500.0,642500.0,5.0,95.0,6.9,20136
BARWON HEADS,742500.0,715000.0,775000.0,842500.0,916000.0,965000.0,1024000.0,1280000,1590000,1800000,1836500.0,1463000.0,1463000.0,20.0,105.0,7.4,20162
BAXTER,330500.0,325000.0,340000.0,403000.0,530000.0,542500.0,530000.0,567500,710000,717500,692500.0,725000.0,725000.0,5.0,123.0,8.4,20169
BAYSWATER,458500.0,525000.0,632500.0,693000.0,800500.0,753000.0,720000.0,745500,870000,902000,870000.0,862000.0,862000.0,1.0,64.0,5.1,20173
BAYSWATER NORTH,468500.0,490000.0,580000.0,628000.0,737500.0,713000.0,695000.0,731000,855500,869500,843000.0,899000.0,899000.0,7.0,83.0,6.3,20174
BEACONSFIELD,486500.0,525000.0,559000.0,585000.0,694500.0,730000.0,685000.0,711000,892000,940000,920000.0,990000.0,990000.0,8.0,89.0,6.5,20175
BEACONSFIELD UPPER,470000.0,507500.0,602500.0,630000.0,725500.0,903500.0,787500.0,818000,900000,1205000,1202500.0,1010000.0,1010000.0,16.0,99.0,7.1,20176
BEAUFORT,186000.0,220000.0,205000.0,237500.0,220000.0,225000.0,242500.0,325000,390000,415000,405000.0,380000.0,380000.0,6.0,73.0,5.6,20181
BEAUMARIS,1072000.0,1129500.0,1345000.0,1455000.0,1611000.0,1674000.0,1587500.0,1725000,2100000,2061000,2055000.0,2061000.0,2061000.0,0.0,82.0,6.2,20182
BEECHWORTH,295000.0,295000.0,332000.0,345000.0,399000.0,400000.0,478500.0,487500,645000,707000,720000.0,780000.0,780000.0,8.0,164.0,10.2,20186
BELGRAVE,410000.0,426000.0,482500.0,545000.0,620000.0,676000.0,636000.0,680000,784000,850000,815000.0,800000.0,800000.0,2.0,88.0,6.5,20188
BELGRAVE HEIGHTS,430000.0,480000.0,590500.0,624000.0,687500.0,701500.0,685000.0,737500,902500,1055500,850000.0,1025000.0,1025000.0,21.0,114.0,7.9,20189
BELGRAVE SOUTH,548000.0,541000.0,555500.0,565000.0,689000.0,782500.0,665500.0,845000,1085000,919000,,,,,,,20190
BELL PARK,314000.0,323500.0,340000.0,360000.0,400000.0,452500.0,482000.0,500000,620500,640000,610000.0,620000.0,620000.0,2.0,92.0,6.7,20191
BELL POST HILL,328000.0,333500.0,344500.0,355000.0,435000.0,487000.0,475000.0,507000,657500,675000,620000.0,670000.0,670000.0,8.0,101.0,7.2,20192
BELLFIELD (BANYULE),516000.0,582500.0,700000.0,778000.0,897000.0,882500.0,790000.0,775000,992500,965000,950000.0,951000.0,951000.0,0.0,63.0,5.0,20198
BENALLA,228000.0,235500.0,222500.0,231500.0,250000.0,284000.0,290000.0,302000,394000,430500,425000.0,440000.0,440000.0,4.0,87.0,6.4,20204
BENDIGO,340000.0,376500.0,372000.0,400000.0,400000.0,400000.0,420000.0,500000,600000,690000,540000.0,620000.0,620000.0,15.0,65.0,5.1,20208
BENTLEIGH,900000.0,1050000.0,1245000.0,1380000.0,1470000.0,1394000.0,1376000.0,1510000,1742500,1723000,1691000.0,1641500.0,1641500.0,3.0,56.0,4.6,20214
BENTLEIGH EAST,750000.0,850000.0,1000500.0,1115000.0,1256000.0,1205000.0,1200000.0,1255000,1480000,1490000,1430000.0,1497000.0,1497000.0,5.0,76.0,5.8,20215
BERWICK,453000.0,487500.0,535000.0,583000.0,670000.0,690000.0,670000.0,700000,812000,870000,850000.0,870000.0,870000.0,2.0,79.0,6.0,20224
BEVERIDGE,396000.0,351500.0,400000.0,430000.0,495000.0,540000.0,580000.0,531000,630000,650000,650000.0,670000.0,670000.0,3.0,91.0,6.7,20233
BIRCHIP,120000.0,90000.0,121500.0,55000.0,100000.0,100000.0,108500.0,121500,130000,170000,225000.0,186000.0,186000.0,17.0,107.0,7.5,20244
BIRREGURRA,255000.0,337500.0,302500.0,345000.0,382500.0,412500.0,463000.0,489500,692500,700000,825000.0,700000.0,700000.0,15.0,107.0,7.6,20247
BITTERN,402000.0,390000.0,382500.0,464000.0,526500.0,650000.0,577500.0,630000,750000,832500,850000.0,830000.0,830000.0,2.0,113.0,7.8,20248
BLACK HILL,283500.0,321500.0,300000.0,315000.0,370000.0,405000.0,492500.0,491000,550000,642500,626000.0,566000.0,566000.0,10.0,76.0,5.8,20249
BLACK ROCK,1237500.0,1400000.0,1545000.0,1745000.0,2017500.0,2029000.0,1793000.0,1920000,2600000,2565000,2300000.0,2400000.0,2400000.0,4.0,71.0,5.5,20251
BLACKBURN,860500.0,936000.0,1200500.0,1241000.0,1410000.0,1370500.0,1305000.0,1405000,1639500,1549500,1569000.0,1517000.0,1517000.0,3.0,62.0,5.0,20252
BLACKBURN NORTH,692000.0,790000.0,921500.0,1040000.0,1140500.0,1038000.0,1017500.0,1090000,1300000,1230000,1284500.0,1273000.0,1273000.0,1.0,61.0,4.9,20253
BLACKBURN SOUTH,697500.0,780000.0,920500.0,1050000.0,1200000.0,1063500.0,1034000.0,1100500,1338500,1288000,1355000.0,1350000.0,1350000.0,0.0,73.0,5.6,20254
BLAIRGOWRIE,609000.0,627500.0,621500.0,770000.0,883000.0,990500.0,921500.0,1143500,1562500,1725000,1655000.0,1495000.0,1495000.0,10.0,138.0,9.1,20257
BLIND BIGHT,362500.0,343000.0,401000.0,440000.0,514000.0,546000.0,552500.0,570000,668500,705000,806000.0,705000.0,705000.0,13.0,106.0,7.5,20260
BONBEACH,580000.0,635000.0,700000.0,778000.0,882500.0,910000.0,855000.0,930000,1115000,1177500,1120000.0,1025000.0,1025000.0,8.0,61.0,4.9,20278
BONNIE BROOK,,,,,,,,307000,492500,645000,665000.0,663000.0,663000.0,0.0,,,20282
BONNIE DOON,250000.0,275000.0,290000.0,290000.0,315000.0,417500.0,410000.0,372500,565000,670000,630000.0,640000.0,640000.0,2.0,133.0,8.8,20283
BONSHAW,309000.0,309000.0,309000.0,322500.0,235000.0,400000.0,379000.0,435000,525000,565000,560000.0,515000.0,515000.0,8.0,67.0,5.2,20284
BOOLARRA,196500.0,260000.0,212500.0,202500.0,255000.0,250000.0,247500.0,255000,355000,362500,450000.0,444000.0,444000.0,1.0,71.0,5.5,20288
BOORT,157500.0,162500.0,130000.0,200500.0,215000.0,180000.0,185000.0,165000,240000,227500,270000.0,299000.0,299000.0,11.0,84.0,6.3,20300
BORONIA,459500.0,500500.0,592500.0,648500.0,735000.0,742500.0,680000.0,715000,845000,830000,855000.0,849500.0,849500.0,1.0,70.0,5.4,20304
BOTANIC RIDGE,492000.0,519000.0,565000.0,600000.0,690000.0,730000.0,700000.0,727000,847000,920000,872500.0,902500.0,902500.0,3.0,74.0,5.7,20307
BOX HILL,855000.0,1067000.0,1350000.0,1360500.0,1752500.0,1700500.0,1545000.0,1512500,1630500,1726000,1680000.0,1705000.0,1705000.0,1.0,60.0,4.8,20314
BOX HILL NORTH,746000.0,857500.0,1060000.0,1146000.0,1321000.0,1188000.0,1200000.0,1191500,1321000,1320000,1333000.0,1340000.0,1340000.0,1.0,56.0,4.6,20315
BOX HILL SOUTH,785000.0,910000.0,1153000.0,1255000.0,1409000.0,1285500.0,1177500.0,1252500,1560000,1440000,1500000.0,1480000.0,1480000.0,1.0,63.0,5.0,20316
BRAYBROOK,424000.0,479500.0,550000.0,629000.0,665000.0,728500.0,646500.0,669500,739000,794500,720000.0,725500.0,725500.0,1.0,51.0,4.2,20324
BREAKWATER,255000.0,251500.0,267500.0,277500.0,335000.0,385000.0,405000.0,410000,534500,580000,575000.0,515000.0,515000.0,10.0,105.0,7.4,20326
BRIAGOLONG,226000.0,200000.0,215000.0,265000.0,257000.0,264000.0,315000.0,277500,400000,415000,436500.0,420000.0,420000.0,4.0,110.0,7.7,20330
BRIAR HILL,572500.0,633000.0,680000.0,721500.0,833000.0,880000.0,823500.0,863000,1015000,984500,1001000.0,950000.0,950000.0,5.0,50.0,4.1,20331
BRIGHT,325000.0,339500.0,392500.0,429500.0,495000.0,590000.0,580000.0,700000,909500,1195000,1100000.0,1040000.0,1040000.0,5.0,206.0,11.8,20336
BRIGHTON,1802500.0,1940000.0,2307500.0,2740000.0,3050000.0,2888000.0,2675000.0,3148500,3515000,3457500,3280000.0,3405500.0,3405500.0,4.0,76.0,5.8,20337
BRIGHTON EAST,1230000.0,1300500.0,1600000.0,1750000.0,1890000.0,1880000.0,1700000.0,1950000,2265000,2316500,2425000.0,2200000.0,2200000.0,9.0,69.0,5.4,20338
BROADFORD,291000.0,267000.0,270000.0,287500.0,330000.0,396500.0,415000.0,454000,505000,570000,550000.0,520000.0,520000.0,5.0,95.0,6.9,20345
BROADMEADOWS,325000.0,345000.0,370000.0,416500.0,546000.0,575000.0,525500.0,551500,590000,600000,560000.0,585000.0,585000.0,4.0,70.0,5.4,20346
BROOKFIELD,330000.0,350500.0,340000.0,360000.0,425000.0,491500.0,445000.0,500000,539000,570000,560000.0,550000.0,550000.0,2.0,57.0,4.6,20351
BROOKLYN,491500.0,540000.0,602000.0,700500.0,834000.0,695000.0,672500.0,712500,850000,810000,740000.0,810000.0,810000.0,9.0,50.0,4.1,20352
BROWN HILL,310000.0,281500.0,270000.0,338000.0,350000.0,405000.0,449000.0,487500,600000,601000,745000.0,625000.0,625000.0,16.0,122.0,8.3,20356
BRUNSWICK,750000.0,812500.0,861000.0,947000.0,1200000.0,1100000.0,1037500.0,1100000,1350000,1330000,1300000.0,1300000.0,1300000.0,0.0,60.0,4.8,20361
BRUNSWICK EAST,767000.0,820000.0,888000.0,998000.0,1150000.0,1170000.0,1011500.0,1286500,1440000,1350000,1403000.0,1353000.0,1353000.0,4.0,65.0,5.1,20362
BRUNSWICK WEST,745000.0,790000.0,863000.0,1002500.0,1155000.0,1160000.0,1061000.0,1180000,1324000,1285500,1277500.0,1327500.0,1327500.0,4.0,68.0,5.3,20363
BRUTHEN,198000.0,182500.0,205000.0,207000.0,229500.0,261000.0,229000.0,345000,285000,455000,495000.0,322500.0,322500.0,35.0,77.0,5.9,20364
BULLEEN,780000.0,861000.0,1095000.0,1170000.0,1300000.0,1230000.0,1105000.0,1177000,1355000,1386000,1400000.0,1300000.0,1300000.0,7.0,51.0,4.2,20386
BUNDALONG,337500.0,336500.0,372500.0,425000.0,373000.0,462000.0,515000.0,725000,674500,2519000,968000.0,755000.0,755000.0,22.0,124.0,8.4,20395
BUNDOORA,530000.0,553500.0,600500.0,652000.0,753000.0,730000.0,735000.0,745000,865000,853000,855000.0,865000.0,865000.0,1.0,56.0,4.6,20399
BUNINYONG,348000.0,385000.0,364500.0,381000.0,470000.0,467500.0,475000.0,587500,666000,770000,680000.0,698500.0,698500.0,3.0,81.0,6.1,20409
BUNYIP,332500.0,325000.0,420000.0,357500.0,437500.0,550000.0,500500.0,541500,652500,750000,730000.0,700000.0,700000.0,4.0,115.0,8.0,20411
BURNLEY,836000.0,1100000.0,999000.0,1215000.0,1405000.0,1277500.0,1188500.0,1497500,1595000,1565000,1582500.0,1429000.0,1429000.0,10.0,30.0,2.7,20418
BURNSIDE,390000.0,401000.0,415000.0,518500.0,572500.0,605000.0,605000.0,660000,720000,780000,752500.0,730000.0,730000.0,3.0,82.0,6.2,20419
BURNSIDE HEIGHTS,427000.0,442500.0,460000.0,522000.0,590000.0,633000.0,591000.0,652500,701000,749000,740000.0,749000.0,749000.0,1.0,69.0,5.4,20420
BURWOOD,780000.0,921000.0,1190000.0,1219000.0,1357000.0,1320000.0,1170000.0,1277500,1430000,1381000,1495000.0,1370000.0,1370000.0,8.0,49.0,4.1,20426
BURWOOD EAST,685500.0,782000.0,982500.0,1021000.0,1126500.0,1005000.0,1106000.0,1168500,1250500,1259000,1281000.0,1285500.0,1285500.0,0.0,64.0,5.1,20427
CAIRNLEA,480000.0,545000.0,540000.0,608500.0,710000.0,734000.0,752500.0,807500,850000,941500,940000.0,932500.0,932500.0,1.0,71.0,5.5,20441
CALIFORNIA GULLY,252500.0,262000.0,255000.0,255000.0,250000.0,275000.0,287000.0,318000,415000,463000,461000.0,458000.0,458000.0,1.0,75.0,5.7,20444
CAMBERWELL,1382000.0,1655000.0,1912500.0,2090000.0,2300000.0,2155000.0,2070000.0,2072500,2569000,2650000,2538000.0,2600000.0,2600000.0,2.0,57.0,4.6,20453
CAMPBELLFIELD,330000.0,338000.0,374500.0,420000.0,507000.0,550000.0,533000.0,537500,602500,605000,605000.0,620000.0,620000.0,2.0,83.0,6.3,20455
CAMPBELLS CREEK,382000.0,345000.0,387500.0,426500.0,380000.0,460500.0,500000.0,522500,652500,710000,722500.0,680000.0,680000.0,6.0,97.0,7.0,20457
CAMPERDOWN,220000.0,186000.0,218000.0,217500.0,240000.0,235000.0,280000.0,292500,362500,415000,470000.0,429000.0,429000.0,9.0,131.0,8.7,20460
CANADIAN,322500.0,297000.0,345000.0,339000.0,334500.0,373000.0,375000.0,422500,490000,580000,529000.0,490000.0,490000.0,7.0,65.0,5.1,20461
CANTERBURY,1950000.0,2100000.0,2523000.0,2620000.0,3140000.0,2533000.0,2902500.0,2705000,3389000,3460000,3380000.0,3212500.0,3212500.0,5.0,53.0,4.3,20468
CAPE PATERSON,337000.0,332000.0,350000.0,358000.0,407500.0,442000.0,540000.0,635500,782500,880000,804500.0,845000.0,845000.0,5.0,155.0,9.8,20473
CAPE SCHANCK,620000.0,557500.0,660000.0,667500.0,972500.0,845000.0,940000.0,1095500,1350000,2250000,1524000.0,1472500.0,1472500.0,3.0,164.0,10.2,20474
CAPEL SOUND,350000.0,366000.0,390000.0,442500.0,542500.0,550000.0,520000.0,582500,775000,815000,740000.0,722500.0,722500.0,2.0,97.0,7.0,20476
CARDIGAN,177500.0,216500.0,225000.0,225000.0,242500.0,622500.0,863500.0,727500,1090000,1150000,1045000.0,1190000.0,1190000.0,14.0,450.0,18.6,20485
CARLTON,1002500.0,1020000.0,830000.0,1050000.0,1470000.0,1625000.0,1308000.0,1452500,1492500,1512500,1500000.0,1390000.0,1390000.0,7.0,36.0,3.1,20495
CARLTON NORTH,890500.0,1095000.0,1177500.0,1360000.0,1628000.0,1445000.0,1555000.0,1500000,1712000,1660000,1490000.0,1515000.0,1515000.0,2.0,38.0,3.3,20496
CARNEGIE,865000.0,1007500.0,1300000.0,1348500.0,1510000.0,1445000.0,1313500.0,1420000,1776000,1685000,1675000.0,1715000.0,1715000.0,2.0,70.0,5.5,20498
CAROLINE SPRINGS,435000.0,460000.0,480000.0,530000.0,611000.0,620000.0,620000.0,650000,720000,750000,731000.0,743500.0,743500.0,2.0,62.0,4.9,20500
CARRUM,510000.0,536000.0,611000.0,750000.0,835500.0,860000.0,770000.0,830500,967000,965000,1030000.0,1040000.0,1040000.0,1.0,94.0,6.9,20507
CARRUM DOWNS,330000.0,346000.0,370000.0,430000.0,525000.0,575000.0,537000.0,575000,665000,705000,697500.0,716500.0,716500.0,3.0,107.0,7.5,20508
CASTERTON,97500.0,99000.0,100000.0,126500.0,142000.0,132500.0,150000.0,161500,200000,300000,290000.0,275000.0,275000.0,5.0,178.0,10.8,20513
CASTLEMAINE,372500.0,369500.0,380000.0,410000.0,435000.0,499000.0,520000.0,556500,680500,725000,727000.0,747000.0,747000.0,3.0,102.0,7.3,20516
CAULFIELD,1172500.0,1322000.0,1650000.0,1715000.0,1885000.0,1701000.0,1762500.0,1818500,2060000,2079000,1786000.0,2335000.0,2335000.0,31.0,77.0,5.9,20521
CAULFIELD NORTH,1415000.0,1480000.0,1875000.0,2181000.0,2285000.0,1960000.0,2112000.0,2360000,2697500,2650000,2620000.0,2450000.0,2450000.0,6.0,66.0,5.2,20523
CAULFIELD SOUTH,1050000.0,1200000.0,1375000.0,1517500.0,1690000.0,1600000.0,1494500.0,1750000,1950000,1845000,1970000.0,1800000.0,1800000.0,9.0,50.0,4.1,20524
CHADSTONE,719000.0,823500.0,925000.0,1017500.0,1131000.0,1050000.0,958000.0,1095000,1255000,1172500,1295000.0,1224000.0,1224000.0,6.0,49.0,4.0,20528
CHARLEMONT,,,,,157000.0,455000.0,465000.0,530000,628000,650000,610000.0,612000.0,612000.0,0.0,,,20533
CHARLTON,120000.0,131000.0,179500.0,160000.0,136000.0,150000.0,147000.0,149500,195000,300000,320000.0,297000.0,297000.0,7.0,127.0,8.5,20535
CHELSEA,577500.0,580000.0,730000.0,890000.0,914000.0,905000.0,856500.0,980000,1167500,1142500,1180000.0,1210000.0,1210000.0,3.0,109.0,7.6,20537
CHELSEA HEIGHTS,465000.0,513000.0,598000.0,641000.0,750000.0,778000.0,750000.0,805000,977500,935000,906500.0,932500.0,932500.0,3.0,82.0,6.2,20538
CHELTENHAM,690000.0,774000.0,867000.0,942500.0,1170000.0,1105000.0,1035000.0,1130000,1306000,1350000,1335000.0,1332500.0,1332500.0,0.0,72.0,5.6,20539
CHILTERN,171500.0,187500.0,220000.0,250000.0,240000.0,260000.0,223500.0,321000,330000,395000,390000.0,462000.0,462000.0,18.0,146.0,9.4,20551
CHIRNSIDE PARK,450000.0,490500.0,542500.0,627000.0,735000.0,700000.0,680500.0,750000,900000,925000,900000.0,890500.0,890500.0,1.0,82.0,6.1,20556
CHURCHILL,182000.0,178500.0,172500.0,182000.0,175000.0,180000.0,185000.0,226000,305000,360000,345000.0,355000.0,355000.0,3.0,99.0,7.1,20561
CLARINDA,525000.0,606500.0,682500.0,751000.0,866000.0,802500.0,820000.0,851500,1024500,1060000,950000.0,985500.0,985500.0,4.0,62.0,5.0,20566
CLAYTON,645000.0,750000.0,976000.0,1010500.0,1250000.0,1255000.0,1158000.0,1055000,1200000,1123000,1170000.0,1165000.0,1165000.0,0.0,55.0,4.5,20569
CLAYTON SOUTH,526500.0,580000.0,687500.0,755000.0,850500.0,850000.0,832000.0,830000,982500,975000,950000.0,961500.0,961500.0,1.0,66.0,5.2,20570
CLIFTON HILL,867000.0,965000.0,1085000.0,1220000.0,1390000.0,1364500.0,1348000.0,1375000,1750000,1710000,1785000.0,1505000.0,1505000.0,16.0,56.0,4.5,20574
CLIFTON SPRINGS,337500.0,344000.0,345000.0,365000.0,420000.0,472000.0,485000.0,518500,666000,710000,670000.0,672000.0,672000.0,0.0,95.0,6.9,20575
CLUNES,219000.0,237500.0,245000.0,255000.0,263000.0,354000.0,320000.0,357500,450000,500000,510000.0,500000.0,500000.0,2.0,111.0,7.7,20580
CLYDE,397000.0,406000.0,397000.0,435000.0,430000.0,505000.0,542500.0,572000,613000,682500,676500.0,695000.0,695000.0,3.0,71.0,5.5,20581
CLYDE NORTH,409000.0,380000.0,410000.0,491000.0,550000.0,595000.0,570000.0,605000,660000,730500,720000.0,725000.0,725000.0,1.0,91.0,6.7,20582
COBBLEBANK,335500.0,323000.0,318000.0,328000.0,374000.0,460000.0,480000.0,510000,565000,645000,646500.0,625000.0,625000.0,3.0,94.0,6.8,20590
COBDEN,162500.0,145000.0,178500.0,177000.0,263000.0,225000.0,237000.0,272000,349000,386000,395000.0,355000.0,355000.0,10.0,145.0,9.4,20591
COBRAM,218000.0,230000.0,236000.0,265000.0,255000.0,255000.0,272500.0,300000,370000,414000,437500.0,405000.0,405000.0,7.0,76.0,5.8,20592
COBURG,633000.0,710000.0,778000.0,876000.0,1000000.0,966500.0,935500.0,1085000,1257500,1216500,1183000.0,1150000.0,1150000.0,3.0,62.0,4.9,20596
